Area;Price;Market;Rooms_num;Rent;District;Build_year;Garage;Lift;Basement;Balcony;Garden;Terrace;Floors_num;Floor_no;Construction_status;Latitude;Longitude;Link
54.0;729000;secondary;3;590;Huby;1980;False;True;True;False;False;False;10;7;ready_to_use;51.0845862;17.0393822;https://www.otodom.pl/pl/oferta/krzyki-3-pokoje-po-generalnym-remoncie-lux-ID4oYwZ
56.58;619000;secondary;2;410;Nadodrze;1930;False;False;True;False;False;False;4;1;ready_to_use;51.12123;17.03737;https://www.otodom.pl/pl/oferta/2-pokoje-z-oddzielna-kuchnia-i-wc-od-zaraz-ID4oBtX
58.0;900000;secondary;3;700;Przedmieście Świdnickie;2018;False;True;True;True;False;False;;0;ready_to_use;51.10489636090336;17.008880856445295;https://www.otodom.pl/pl/oferta/teczowa-lokum-victoria-mieszkanie-58m2-ID4oCft
60.38;899000;secondary;3;800;Gaj;2016;True;True;False;False;False;False;3;3;ready_to_use;51.07729;17.03537;https://www.otodom.pl/pl/oferta/komfortowe-3m-nowe-2016r-winda-garaz-krzyki-gaj-ID4oU6q
52.0;689900;secondary;3;689;Huby;1977;False;False;True;False;False;False;4;4;ready_to_use;51.08995;17.03772;https://www.otodom.pl/pl/oferta/atrakcyjna-oferta-inwestycja-blisko-uczelnie-ID4oX3V
71.0;1080000;secondary;3;900;Stare Miasto;2000;False;True;False;False;False;False;6;6;ready_to_use;51.11145;17.02593;https://www.otodom.pl/pl/oferta/3m-w-sercu-wroclawia-ID4oHFu
44.4;575000;secondary;2;;Nadodrze;;False;False;False;True;False;False;4;3;;51.1187543;17.0334637;https://www.otodom.pl/pl/oferta/srodmiescie-rozklad-loggia-plac-swietego-macieja-ID4ohWg
110.0;794000;primary;4;;Lipa Piotrowska;;True;False;False;False;False;True;2;1;to_completion;51.1745;16.99616;https://www.otodom.pl/pl/oferta/podlogowkadwa-tarasybezczynszowecicha-okolica-ID4p6mL
73.0;720000;secondary;4;1000;Huby;1989;False;False;True;True;False;False;6;5;ready_to_use;51.0923043;17.0357807;https://www.otodom.pl/pl/oferta/4-pok-73-m2-wroclaw-9-860-zl-m2-bez-prowizji-ID4oNe2
45.39;589000;primary;2;;Sołtysowice;2025;True;True;False;True;False;False;5;3;to_completion;51.145546181504;17.069995017197;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-45m2-balkon-ID4n8Ih
75.0;999000;secondary;5;800;Maślice;2019;True;True;True;True;False;False;3;3;ready_to_use;51.15181406750553;16.943361536712654;https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-pow-calkowita-88m2-ID4p6lq
61.0;729000;secondary;3;700;Karłowice - Różanka;1980;False;False;True;True;False;False;4;2;;51.13955;17.06588;https://www.otodom.pl/pl/oferta/czajkowskiego-3-pokojowe-rozkladowe-dla-rodziny-ID4mkvS
38.3;532000;secondary;2;420;Psie Pole - Zawidawie;2018;True;False;False;True;False;False;2;1;;51.142039;17.13934;https://www.otodom.pl/pl/oferta/2-pokoje-na-start-lub-inwestycyjnie-kredyt-2-ID4oc30
36.0;680000;secondary;1;520;Przedmieście Oławskie;2023;False;True;False;False;False;False;6;4;;51.1014116;17.0396337;https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-starym-miescie-dworzec-pkp-ID4oafj
57.0;699000;secondary;3;600;Maślice;2023;True;True;False;False;False;False;2;0;ready_to_use;51.15349;16.94125;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-maslicach-ID4oPI1
63.0;619000;secondary;3;;Krzyki - Partynice;1986;False;True;True;True;False;False;11;4;;51.0656857;16.9885225;https://www.otodom.pl/pl/oferta/rozkladowe-3pok-63-m2-o-miejskie-balkon-winda-ID4p6l2
63.0;619000;secondary;3;;Krzyki - Partynice;1986;False;True;True;True;False;False;11;4;;51.0666563;16.9939692;https://www.otodom.pl/pl/oferta/rozkladowe-3pok-63-m2-o-miejskie-balkon-winda-ID4p6l3
52.0;620000;secondary;2;;Gądów - Popowice Płd.;1989;False;False;True;True;False;False;9;7;ready_to_use;51.1252208;16.9680536;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-52-m2-ul-drzewieckiego-ID4p6kj
36.0;500000;secondary;2;500;Przedmieście Świdnickie;;;;;;;;8;8;;51.10399758529;17.02146394714354;https://www.otodom.pl/pl/oferta/2-pokoje-grabiszynska-18-stare-miasto-8-pietro-ID4oDsQ
47.0;559000;secondary;2;;Przedmieście Oławskie;1960;False;False;True;True;False;False;4;4;ready_to_use;51.101299;17.049343;https://www.otodom.pl/pl/oferta/komuny-paryskiej-media-miejskie-balkon-rozklad-ID4oGKu
64.0;698000;secondary;3;500;Krzyki - Partynice;2000;False;False;True;False;False;False;4;0;ready_to_use;51.07458;16.9937;https://www.otodom.pl/pl/oferta/klucze-w-biurze-3m-atrakcyjna-lokalizacja-park-ID4p2XR
56.0;839000;secondary;3;600;Kleczków;2017;False;True;False;True;False;False;7;1;ready_to_use;51.1284389;17.0275314;https://www.otodom.pl/pl/oferta/3-pokoje-osobna-kuchnia-2017-r-przy-odrze-ID4p2Cy
44.08;539999;primary;2;450;Sołtysowice;2025;True;True;True;True;False;False;5;1;to_completion;51.1439878;17.0689166;https://www.otodom.pl/pl/oferta/dwa-pokoje-z-balkonem-wsrod-zieleni-ID4p6ik
53.92;943390;primary;2;;Przedmieście Świdnickie;2024;True;True;False;True;False;False;6;1;to_completion;51.103089746233;17.033028194104;https://www.otodom.pl/pl/oferta/czysta-4-mieszkanie-2-pok-02-45-ID4oljg
54.0;599000;secondary;3;;Gaj;1978;False;True;True;True;False;False;10;1;to_renovation;51.0799325;17.0473655;https://www.otodom.pl/pl/oferta/bezposrednio-wroclaw-krzyki-ul-krynicka-ID4p6hD
48.8;685000;secondary;2;;Krzyki - Partynice;2001;False;False;True;False;False;False;4;2;ready_to_use;51.07199533495809;16.998585039981066;https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-2-pok-krzyki-ul-wietrzna-ID4oUqs
21.07;389000;secondary;1;250;Przedmieście Świdnickie;2015;False;True;False;False;False;False;5;1;;51.101763464774606;17.03472316144637;https://www.otodom.pl/pl/oferta/cicha-kawalerka-w-centrum-miasta-bez-posrednika-ID4oXg9
91.5;1329000;secondary;3;500;Kleczków;;False;False;True;False;False;False;4;3;ready_to_use;51.1259259;17.0360506;https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-91-5-m2-nadodrze-ID4o6Rw
43.84;521258;primary;2;;Ołtaszyn;2023;True;True;False;True;False;False;2;1;to_completion;51.04834893495;17.026080755802;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-balkon-bez-prowizji-ID4dOQy
60.0;789075;primary;3;;Krzyki - Partynice;2025;True;True;False;True;False;False;4;1;to_completion;51.077748052183;16.986704627567;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-2-balkony-ID4ocAj
106.34;1100000;secondary;3;1000;Karłowice - Różanka;2001;False;False;True;False;False;False;4;3;ready_to_use;51.14373;17.02601;https://www.otodom.pl/pl/oferta/mieszkanie-dwupoziomowe-o-pow-97-19-m2-na-rozance-ID4nje2
50.06;650000;secondary;2;470;Pilczyce - Kozanów - Popowice Płn.;1990;True;False;True;False;False;False;3;3;ready_to_use;51.13781;16.95838;https://www.otodom.pl/pl/oferta/dwustronne-blisko-tramwaj-klimatyzacja-piwnica-ID4oh8Q
65.02;744000;secondary;3;540;Muchobór Mały;1954;False;False;True;False;False;False;2;2;ready_to_use;51.11462;16.97843;https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-w-swietnej-lokalizacji-ID4obd5
51.3;639000;secondary;2;1000;Powstańców Śląskich;1992;True;True;True;True;False;False;10;8;ready_to_use;51.09578;17.0244;https://www.otodom.pl/pl/oferta/oddzielna-kuchnia-visa-vie-sky-tower-duzy-balkon-ID4oe31
38.32;649000;secondary;2;500;Huby;2014;False;True;False;True;False;False;6;0;ready_to_use;51.09481;17.03908;https://www.otodom.pl/pl/oferta/apartament-obok-dworca-pkp-i-wroclavii-ID4nZuA
65.74;865000;secondary;3;560;Muchobór Wielki;2021;True;False;False;True;False;False;2;1;ready_to_use;51.09382;16.93857;https://www.otodom.pl/pl/oferta/apartament-nowy-garaz-podziemny-2-balkony-ID4nR7J
53.4;619000;secondary;3;758;Gądów - Popowice Płd.;1970;False;True;True;True;False;False;10;9;ready_to_use;51.12366;16.97625;https://www.otodom.pl/pl/oferta/pelny-rozklad-dwustronne-3-pokoje-ID4oH5i
56.4;761400;primary;1;;Wojszyce;2024;True;False;False;True;False;False;2;1;;51.064816;17.038706;https://www.otodom.pl/pl/oferta/loftowe-studio-inwestycja-w-zabytkowym-folwarku-ID4n7kn
44.16;596160;primary;2;;Wojszyce;2024;True;False;False;False;False;False;2;1;;51.064816;17.038706;https://www.otodom.pl/pl/oferta/loftowe-mieszkanie-z-antresola-wysokosc-3m-ID4n7kR
36.4;509600;primary;2;;Wojszyce;2024;True;False;False;False;False;False;2;2;;51.064816;17.038706;https://www.otodom.pl/pl/oferta/nowe-mieszkania-w-zabytkowym-folwarku-wojszyce-ID4onck
61.3;679000;secondary;2;1000;Pilczyce - Kozanów - Popowice Płn.;1980;False;False;False;True;False;False;4;4;ready_to_use;51.14019;16.96078;https://www.otodom.pl/pl/oferta/przestronne-rozkladowe-z-duzym-balkonem-ID4p685
74.31;820000;secondary;3;250;Ołbin;1927;False;False;True;False;False;False;4;4;ready_to_use;51.11627;17.06143;https://www.otodom.pl/pl/oferta/mieszkanie-z-poddaszem-wroclaw-plac-grunwaldzki-ID4p3P2
67.0;1100000;secondary;4;780;Strachocin - Swojczyce - Wojnów;2023;True;True;False;True;False;False;3;1;to_completion;51.10573;17.12503;https://www.otodom.pl/pl/oferta/olimpia-port-archicom-widok-na-las-ID4oYzL
38.0;630000;secondary;2;550;Strachocin - Swojczyce - Wojnów;2023;True;True;False;True;False;False;4;2;to_completion;51.10573;17.12503;https://www.otodom.pl/pl/oferta/olimpia-port-archicom-widok-na-las-ID4oYzM
52.74;599000;secondary;2;600;Gajowice;1970;False;False;True;True;False;False;4;2;to_renovation;51.09551;17.00609;https://www.otodom.pl/pl/oferta/rozklad-do-wlasnej-aranzacji-okolice-sky-tower-ID4oMko
77.0;1006000;primary;4;;Szczepin;2023;True;True;False;True;False;False;4;0;;51.122893;17.01408;https://www.otodom.pl/pl/oferta/cztery-pokoje-z-balkonem-garderoba-centrum-ID4p6fu
38.47;587000;primary;1;;Szczepin;2026;True;True;False;True;False;False;6;0;;51.12432;17.01739;https://www.otodom.pl/pl/oferta/swietna-lokalizacja-kawalerka-z-balkonem-centrum-ID4p6fw
